10.179,6.867,16.718,9.103,21.036,13.572,28.963,Agtron 35
10.514,7.047,17.241,9.345,21.561,14.147,29.947,Agtron 35
10.382,7.236,17.332,9.249,21.27,13.825,29.33,Agtron 35
10.566,7.019,17.158,9.386,21.616,14.247,30.141,Agtron 35
10.233,7.112,17.207,9.091,21.057,13.688,29.096,Agtron 35
10.301,6.905,17.184,9.138,21.438,13.894,29.827,Agtron 35
10.506,7.256,17.342,9.333,21.314,14.066,29.518,Agtron 35
10.593,7.094,17.394,9.415,21.768,14.256,30.193,Agtron 35
10.375,7.099,17.228,9.249,21.333,13.848,29.431,Agtron 35
10.733,7.16,17.529,9.539,22.036,14.451,30.625,Agtron 35
10.122,6.971,17.065,8.996,20.984,13.555,29.01,Agtron 35
10.629,7.016,17.178,9.424,21.586,14.387,30.176,Agtron 35
10.437,7.159,17.266,9.29,21.431,13.958,29.615,Agtron 35
10.676,7.064,17.25,9.483,21.785,14.408,30.417,Agtron 35
10.388,7.17,17.293,9.262,21.251,13.846,29.219,Agtron 35
10.867,7.216,17.534,9.66,22.048,14.642,30.621,Agtron 35
10.343,7.093,17.148,9.201,21.238,13.839,29.388,Agtron 35
10.664,6.452,17.071,9.409,22.46,14.735,32.143,Agtron 45
10.76,6.492,17.045,9.482,22.391,14.898,32.084,Agtron 45
10.532,6.394,16.94,9.29,22.134,14.548,31.587,Agtron 45
11.025,6.616,17.085,9.731,22.768,15.249,32.671,Agtron 45
10.651,6.425,17.088,9.414,22.507,14.691,32.048,Agtron 45
10.716,6.415,16.964,9.445,22.407,14.852,32.154,Agtron 45
10.239,6.209,16.816,9.027,21.892,14.156,31.293,Agtron 45
10.658,6.432,17.007,9.36,22.251,14.819,32.023,Agtron 45
10.381,6.349,17.012,9.145,22.077,14.346,31.546,Agtron 45
11.592,7.451,17.984,10.417,23.422,15.474,32.636,Agtron 45
11.268,7.333,17.909,10.163,23.322,14.942,32.276,Agtron 45
11.018,7.099,17.559,9.903,22.737,14.698,31.706,Agtron 45
11.569,6.642,17.371,10.296,23.79,15.942,34.083,Agtron 55
12.517,7.134,17.802,11.131,24.77,17.292,35.588,Agtron 55
12.336,7.623,18.296,11.156,24.78,16.438,34.566,Agtron 55
11.832,7.452,18.049,10.663,24.11,15.788,33.686,Agtron 55
11.855,7.361,18.036,10.713,24.293,15.802,33.876,Agtron 55
11.63,7.16,17.61,10.468,23.781,15.61,33.415,Agtron 55
12.061,7.441,18.077,10.905,24.503,16.082,34.188,Agtron 55
11.952,6.862,17.627,10.633,24.351,16.486,34.891,Agtron 55
11.492,6.543,17.314,10.21,23.65,15.889,34.003,Agtron 55
11.212,6.492,17.229,9.917,23.255,15.553,33.525,Agtron 55
11.4,6.463,17.201,10.11,23.503,15.815,33.909,Agtron 55
12.04,6.889,17.674,10.691,24.242,16.653,34.895,Agtron 55
11.824,6.758,17.687,10.509,24.171,16.338,34.645,Agtron 55
