10.247,6.857,17.039,9.085,21.303,13.835,29.717,195.817,Agtron 35
10.453,7.21,17.207,9.282,21.184,14.01,29.409,195.817,Agtron 35
10.54,7.047,17.256,9.363,21.638,14.198,30.085,195.817,Agtron 35
10.323,7.054,17.095,9.198,21.204,13.792,29.323,195.817,Agtron 35
10.679,7.113,17.391,9.486,21.907,14.392,30.517,195.817,Agtron 35
10.066,6.921,16.914,8.941,20.841,13.494,28.891,195.817,Agtron 35
10.576,6.969,17.039,9.372,21.457,14.33,30.07,195.817,Agtron 35
10.383,7.112,17.129,9.237,21.298,13.899,29.502,195.817,Agtron 35
10.627,7.02,17.121,9.435,21.666,14.355,30.318,195.817,Agtron 35
10.336,7.123,17.156,9.21,21.119,13.788,29.109,195.817,Agtron 35
10.813,7.168,17.396,9.606,21.918,14.583,30.514,195.817,Agtron 35
10.289,7.046,17.009,9.148,21.103,13.781,29.275,195.817,Agtron 35
10.606,6.397,16.895,9.352,22.324,14.673,32.038,190.902,Agtron 45
10.701,6.437,16.868,9.424,22.251,14.834,31.977,190.902,Agtron 45
10.471,6.338,16.76,9.231,21.99,14.484,31.476,190.902,Agtron 45
10.965,6.561,16.911,9.671,22.628,15.184,32.563,190.902,Agtron 45
10.588,6.366,16.902,9.352,22.359,14.624,31.933,190.902,Agtron 45
10.656,6.359,16.784,9.386,22.265,14.788,32.045,190.902,Agtron 45
10.186,6.159,16.647,8.974,21.761,14.099,31.193,190.902,Agtron 45
10.601,6.378,16.832,9.304,22.115,14.758,31.919,190.902,Agtron 45
10.33,6.3,16.851,9.094,21.952,14.291,31.451,190.902,Agtron 45
11.555,7.418,17.888,10.382,23.341,15.434,32.569,190.902,Agtron 45
11.227,7.296,17.801,10.123,23.231,14.897,32.2,190.902,Agtron 45
10.981,7.065,17.457,9.867,22.651,14.658,31.637,190.902,Agtron 45
11.499,6.577,17.168,10.227,23.636,15.867,33.965,190.856,Agtron 55
12.438,7.062,17.589,11.053,24.605,17.206,35.46,190.856,Agtron 55
12.287,7.579,18.175,11.108,24.679,16.383,34.48,190.856,Agtron 55
11.79,7.416,17.948,10.623,24.023,15.742,33.611,190.856,Agtron 55
11.81,7.321,17.922,10.669,24.198,15.753,33.795,190.856,Agtron 55
11.59,7.124,17.507,10.428,23.693,15.565,33.34,190.856,Agtron 55
12.016,7.4,17.962,10.861,24.409,16.032,34.109,190.856,Agtron 55
11.887,6.802,17.444,10.569,24.212,16.416,34.784,190.856,Agtron 55
11.435,6.49,17.144,10.155,23.526,15.829,33.909,190.856,Agtron 55
11.152,6.436,17.052,9.859,23.121,15.489,33.422,190.856,Agtron 55
11.348,6.413,17.043,10.059,23.387,15.758,33.82,190.856,Agtron 55
11.982,6.834,17.509,10.634,24.118,16.59,34.8,190.856,Agtron 55
11.765,6.704,17.521,10.451,24.044,16.274,34.547,190.856,Agtron 55
11.608,6.682,17.374,10.284,23.739,16.085,34.197,190.856,Agtron 55
11.176,6.346,17.027,9.943,23.382,15.437,33.556,190.856,Agtron 55
11.52,6.532,17.122,10.215,23.556,15.984,34.008,190.856,Agtron 55
11.049,6.237,16.884,9.829,23.311,15.278,33.493,190.856,Agtron 55
11.191,6.339,16.984,9.924,23.268,15.527,33.483,190.856,Agtron 55
